iter	Logloss
0	0.6781624275
1	0.6638543354
2	0.6494290112
3	0.6355147323
4	0.622671608
5	0.6113160916
6	0.5975444763
7	0.5848242907
8	0.5719558592
9	0.5574038126
10	0.5458201587
11	0.5355141492
12	0.5235211752
13	0.5130395657
14	0.5020505704
15	0.4933069741
16	0.4826451123
17	0.4739682888
18	0.4625950325
19	0.4520964274
20	0.443813355
21	0.4349122706
22	0.4254716082
23	0.4170295281
24	0.4089917749
25	0.4013845552
26	0.3953451141
27	0.3887749028
28	0.3804780914
29	0.3733919966
30	0.3663656343
31	0.3606564902
32	0.3542106752
33	0.3477082912
34	0.3426507469
35	0.3381264539
36	0.3324822837
37	0.3268752059
38	0.3216943818
39	0.3154502186
40	0.3088165531
41	0.3026631053
42	0.2979810141
43	0.2920982237
44	0.2873976793
45	0.2824526841
46	0.2776564311
47	0.273774682
48	0.268679487
49	0.2643395401
50	0.2596478656
51	0.2547106859
52	0.2507891461
53	0.2468264355
54	0.2442188108
55	0.2411039709
56	0.2383017346
57	0.2342210165
58	0.2309222028
59	0.2274910066
60	0.2238263076
61	0.2205584301
62	0.217565552
63	0.2141890332
64	0.2110887388
65	0.2083122284
66	0.2052674642
67	0.2019412808
68	0.1992914153
69	0.1966030152
70	0.1936231474
71	0.1915813539
72	0.188832911
73	0.1865137612
74	0.1845176045
75	0.1821848241
76	0.1793370131
77	0.177369079
78	0.1753286191
79	0.1731623208
80	0.1712188721
81	0.1690345082
82	0.1668226661
83	0.1646151504
84	0.1624771056
85	0.1606672334
86	0.1591096894
87	0.156838952
88	0.1552831293
89	0.1536039337
90	0.1519232649
91	0.1503921447
92	0.1485463739
93	0.1472930598
94	0.1456983303
95	0.1441141919
96	0.142544506
97	0.1408652949
98	0.1394129962
99	0.13873474
100	0.1375726529
101	0.1360159463
102	0.1345888929
103	0.133984589
104	0.1325505885
105	0.1312414805
106	0.1299364741
107	0.1286358019
108	0.1273672523
109	0.1264879956
110	0.1251632256
111	0.1241691171
112	0.1229923217
113	0.1220437724
114	0.120993839
115	0.1201025412
116	0.1191108518
117	0.1177934476
118	0.1166412385
119	0.1155797137
120	0.1148414147
121	0.1144457251
122	0.1135413317
123	0.1123577211
124	0.1110793633
125	0.1101813045
126	0.1094829513
127	0.1087746504
128	0.1077135598
129	0.1067335237
130	0.1060822184
131	0.1052599806
132	0.1043771806
133	0.1037177574
134	0.1030848433
135	0.1022084554
136	0.1011995455
137	0.1003366021
138	0.09958583553
139	0.0989792754
140	0.09807126115
141	0.09743947905
142	0.09659508186
143	0.09586770748
144	0.09506102306
145	0.09436746923
146	0.09364231234
147	0.09308333513
148	0.09231975214
149	0.09171625463
150	0.09110701956
151	0.09052437883
152	0.09003858644
153	0.08957496116
154	0.0889346115
155	0.08852710569
156	0.08805180371
157	0.08743748238
158	0.0868772026
159	0.08628297821
160	0.08577785647
161	0.08527841801
162	0.08468755086
163	0.0842412623
164	0.08372033902
165	0.08314055156
166	0.08264988225
167	0.0821359836
168	0.08157508354
169	0.08108222
170	0.08055626474
